anime_id,name,genre,type,rating,image_url
128,Gate Keepers 21,"Drama, Sci-Fi",OVA,6.73,https://cdn.myanimelist.net/images/anime/6/75569.jpg
129,Gensoumaden Saiyuuki,"Action, Adventure, Drama, Fantasy",TV,7.53,https://cdn.myanimelist.net/images/anime/11/75282.jpg
130,Saiyuuki Reload,"Action, Adventure, Comedy, Drama, Supernatural",TV,7.36,https://cdn.myanimelist.net/images/anime/13/24719.jpg
131,Saiyuuki Reload Gunlock,"Action, Adventure, Comedy, Drama, Supernatural",TV,7.37,https://cdn.myanimelist.net/images/anime/1348/134419.jpg
132,GetBackers,"Action, Mystery, Supernatural",TV,7.56,https://cdn.myanimelist.net/images/anime/1056/109721.jpg
133,Green Green,"Comedy, Romance, Ecchi",TV,6.12,https://cdn.myanimelist.net/images/anime/7/75251.jpg
134,Gunslinger Girl,"Action, Drama, Sci-Fi, Suspense",TV,7.38,https://cdn.myanimelist.net/images/anime/5/3088.jpg
135,Hikaru no Go,"Comedy, Drama, Supernatural",TV,8.07,https://cdn.myanimelist.net/images/anime/12/78317.jpg
136,Hunter x Hunter,"Action, Adventure, Fantasy",TV,8.43,https://cdn.myanimelist.net/images/anime/1305/132237.jpg
137,Hunter x Hunter: Original Video Animation,"Action, Adventure, Fantasy",OVA,8.31,https://cdn.myanimelist.net/images/anime/1/137.jpg
138,Hunter x Hunter: Greed Island,"Action, Adventure, Fantasy",OVA,8.18,https://cdn.myanimelist.net/images/anime/1902/122320.jpg
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Fantasy",OVA,8.25,https://cdn.myanimelist.net/images/anime/1/139.jpg
141,Jinki:Extend,Sci-Fi,TV,6.04,https://cdn.myanimelist.net/images/anime/3/44792.jpg
142,Kamikaze Kaitou Jeanne,"Action, Drama, Romance, Supernatural",TV,7.47,https://cdn.myanimelist.net/images/anime/5/20389.jpg
143,Kannazuki no Miko,"Drama, Girls Love, Supernatural",TV,6.8,https://cdn.myanimelist.net/images/anime/8/73955.jpg
144,Kanon,"Drama, Romance, Supernatural",TV,7.05,https://cdn.myanimelist.net/images/anime/1552/128388.jpg
145,Kareshi Kanojo no Jijou,"Comedy, Drama, Romance",TV,7.59,https://cdn.myanimelist.net/images/anime/1222/108880.jpg
146,Kono Minikuku mo Utsukushii Sekai,"Comedy, Drama, Romance, Sci-Fi, Ecchi",TV,6.69,https://cdn.myanimelist.net/images/anime/10/21035.jpg
147,Kimi ga Nozomu Eien,"Drama, Romance",TV,7.16,https://cdn.myanimelist.net/images/anime/5/10227.jpg
148,Kita e.: Diamond Dust Drops,"Drama, Romance",TV,6.55,https://cdn.myanimelist.net/images/anime/1488/132892.jpg
149,Loveless,"Boys Love, Drama, Mystery, Supernatural",TV,6.7,https://cdn.myanimelist.net/images/anime/2/22947.jpg
150,Blood+,"Action, Drama, Horror, Mystery, Supernatural",TV,7.6,https://cdn.myanimelist.net/images/anime/10/10183.jpg
151,Re: Cutie Honey,"Action, Comedy, Girls Love, Sci-Fi, Ecchi",OVA,7.14,https://cdn.myanimelist.net/images/anime/6/52103.jpg
152,Solty Rei,"Action, Sci-Fi",TV,7.24,https://cdn.myanimelist.net/images/anime/3/75582.jpg
153,Juuni Kokuki,"Action, Adventure, Fantasy",TV,8.01,https://cdn.myanimelist.net/images/anime/6/50859.jpg
154,Shaman King,"Action, Adventure, Supernatural",TV,7.73,https://cdn.myanimelist.net/images/anime/1722/99235.jpg
155,X/1999,"Action, Drama, Fantasy, Mystery",Movie,6.56,https://cdn.myanimelist.net/images/anime/7/23579.jpg
156,X,"Action, Drama, Fantasy, Mystery",TV,7.38,https://cdn.myanimelist.net/images/anime/8/17167.jpg
157,Mahou Sensei Negima!,"Action, Comedy, Fantasy, Romance, Ecchi",TV,6.92,https://cdn.myanimelist.net/images/anime/12/89535.jpg
158,Maria-sama ga Miteru,"Drama, Girls Love",TV,7.27,https://cdn.myanimelist.net/images/anime/1994/114208.jpg
159,Boukyaku no Senritsu,"Adventure, Fantasy, Horror, Sci-Fi",TV,6.25,https://cdn.myanimelist.net/images/anime/9/52679.jpg
160,"Ima, Soko ni Iru Boku","Adventure, Drama, Fantasy, Sci-Fi",TV,7.57,https://cdn.myanimelist.net/images/anime/1094/109008.jpg
161,Peace Maker Kurogane,"Action, Comedy",TV,7.28,https://cdn.myanimelist.net/images/anime/10/77408.jpg
162,Pita Ten,"Comedy, Fantasy, Romance",TV,6.92,https://cdn.myanimelist.net/images/anime/7/25205.jpg
164,Mononoke Hime,"Action, Adventure, Award Winning, Fantasy",Movie,8.67,https://cdn.myanimelist.net/images/anime/1355/147277.jpg
165,RahXephon,"Award Winning, Drama, Mystery, Romance, Sci-Fi, Suspense",TV,7.37,https://cdn.myanimelist.net/images/anime/13/75168.jpg
166,Samurai 7,Sci-Fi,TV,7.43,https://cdn.myanimelist.net/images/anime/1190/95421.jpg
167,Scrapped Princess,"Adventure, Drama, Fantasy, Sci-Fi",TV,7.36,https://cdn.myanimelist.net/images/anime/1238/94717.jpg
168,s.CRY.ed,"Action, Adventure, Drama, Sci-Fi",TV,7.35,https://cdn.myanimelist.net/images/anime/1181/138453.jpg
169,Shingetsutan Tsukihime,"Action, Horror, Mystery, Romance, Supernatural",TV,6.78,https://cdn.myanimelist.net/images/anime/12/20669.jpg
170,Slam Dunk,Sports,TV,8.55,https://cdn.myanimelist.net/images/anime/12/86890.jpg
173,Tactics,"Mystery, Supernatural",TV,7.18,https://cdn.myanimelist.net/images/anime/8/37549.jpg
174,Tenjou Tenge,"Action, Drama, Supernatural, Ecchi",TV,6.86,https://cdn.myanimelist.net/images/anime/1507/101835.jpg
